atr_period,universe,window,day,equity
24,LowVolume5,6,240,1.000000
24,LowVolume5,6,250,1.000000
24,LowVolume5,7,0,1.000000
24,LowVolume5,7,10,1.000000
24,LowVolume5,7,20,1.000000
24,LowVolume5,7,30,1.000000
24,LowVolume5,7,40,1.000000
24,LowVolume5,7,50,1.000000
24,LowVolume5,7,60,1.000000
24,LowVolume5,7,70,1.000000
24,LowVolume5,7,80,1.000000
24,LowVolume5,7,90,1.000000
24,LowVolume5,7,100,1.000000
24,LowVolume5,7,110,1.000000
24,LowVolume5,7,120,1.000000
24,LowVolume5,7,130,1.000000
24,LowVolume5,7,140,1.000000
24,LowVolume5,7,150,1.000000
24,LowVolume5,7,160,1.000000
24,LowVolume5,7,170,1.000000
24,LowVolume5,7,180,1.000000
24,LowVolume5,7,190,1.000000
24,LowVolume5,7,200,1.000000
24,LowVolume5,7,210,1.000000
24,LowVolume5,7,220,1.000000
24,LowVolume5,7,230,1.000000
24,LowVolume5,7,240,1.000000
24,LowVolume5,7,250,1.000000
24,LowVolume5,8,0,1.000000
24,LowVolume5,8,10,1.000000
24,LowVolume5,8,20,1.000000
24,LowVolume5,8,30,1.000000
24,LowVolume5,8,40,1.000000
24,LowVolume5,8,50,1.000000
24,LowVolume5,8,60,1.000000
24,LowVolume5,8,70,1.000000
24,LowVolume5,8,80,1.000000
24,LowVolume5,8,90,1.000000
24,LowVolume5,8,100,1.000000
24,LowVolume5,8,110,1.000000
24,LowVolume5,8,120,1.000000
24,LowVolume5,8,130,1.000000
24,LowVolume5,8,140,1.000000
24,LowVolume5,8,150,1.000000
24,LowVolume5,8,160,1.000000
24,LowVolume5,8,170,1.000000
24,LowVolume5,8,180,1.000000
24,LowVolume5,8,190,1.000000
24,LowVolume5,8,200,1.000000
24,LowVolume5,8,210,1.000000
24,LowVolume5,8,220,1.000000
24,LowVolume5,8,230,1.000000
24,LowVolume5,8,240,1.000000
24,LowVolume5,8,250,1.000000
24,Legacy3,0,0,1.000000
24,Legacy3,0,10,1.000000
24,Legacy3,0,20,1.000000
24,Legacy3,0,30,1.000000
24,Legacy3,0,40,1.000000
24,Legacy3,0,50,1.000000
24,Legacy3,0,60,1.000000
24,Legacy3,0,70,1.000000
24,Legacy3,0,80,1.000000
24,Legacy3,0,90,1.000000
24,Legacy3,0,100,1.000000
24,Legacy3,0,110,1.000000
24,Legacy3,0,120,1.000000
24,Legacy3,0,130,1.000000
24,Legacy3,0,140,1.000000
24,Legacy3,0,150,1.000000
24,Legacy3,0,160,1.000000
24,Legacy3,0,170,1.000000
24,Legacy3,0,180,1.000000
24,Legacy3,0,190,1.000000
24,Legacy3,0,200,1.000000
24,Legacy3,0,210,1.000000
24,Legacy3,0,220,1.000000
24,Legacy3,0,230,1.000000
24,Legacy3,0,240,1.000000
24,Legacy3,0,250,1.000000
24,Legacy3,1,0,1.000000
24,Legacy3,1,10,1.000000
24,Legacy3,1,20,1.000000
24,Legacy3,1,30,1.000000
24,Legacy3,1,40,1.000000
24,Legacy3,1,50,1.000000
24,Legacy3,1,60,1.000000
24,Legacy3,1,70,1.000000
24,Legacy3,1,80,1.000000
24,Legacy3,1,90,1.000000
24,Legacy3,1,100,1.000000
24,Legacy3,1,110,1.000000
24,Legacy3,1,120,1.000000
24,Legacy3,1,130,1.000000
24,Legacy3,1,140,1.000000
24,Legacy3,1,150,1.000000
24,Legacy3,1,160,1.000000
24,Legacy3,1,170,1.000000
24,Legacy3,1,180,1.000000
24,Legacy3,1,190,1.000000
24,Legacy3,1,200,1.000000
24,Legacy3,1,210,1.000000
24,Legacy3,1,220,1.000000
24,Legacy3,1,230,1.000000
24,Legacy3,1,240,1.000000
24,Legacy3,1,250,1.000000
24,Legacy3,2,0,1.000000
24,Legacy3,2,10,1.000000
24,Legacy3,2,20,1.000000
24,Legacy3,2,30,1.000000
24,Legacy3,2,40,1.000000
24,Legacy3,2,50,1.000000
24,Legacy3,2,60,1.000000
24,Legacy3,2,70,1.000000
24,Legacy3,2,80,1.000000
24,Legacy3,2,90,1.000000
24,Legacy3,2,100,1.000000
24,Legacy3,2,110,1.000000
24,Legacy3,2,120,1.000000
24,Legacy3,2,130,1.000000
24,Legacy3,2,140,1.000000
24,Legacy3,2,150,1.000000
24,Legacy3,2,160,1.000000
24,Legacy3,2,170,1.000000
24,Legacy3,2,180,1.000000
24,Legacy3,2,190,1.000000
24,Legacy3,2,200,1.000000
24,Legacy3,2,210,1.000000
24,Legacy3,2,220,1.000000
24,Legacy3,2,230,1.000000
24,Legacy3,2,240,1.000000
24,Legacy3,2,250,1.000000
24,Legacy3,3,0,1.000000
24,Legacy3,3,10,1.000000
24,Legacy3,3,20,1.000000
24,Legacy3,3,30,1.000000
24,Legacy3,3,40,1.000000
24,Legacy3,3,50,1.000000
24,Legacy3,3,60,1.000000
24,Legacy3,3,70,1.000000
24,Legacy3,3,80,1.000000
24,Legacy3,3,90,1.000000
24,Legacy3,3,100,1.000000
24,Legacy3,3,110,1.000000
24,Legacy3,3,120,1.000000
24,Legacy3,3,130,1.000000
24,Legacy3,3,140,1.000000
24,Legacy3,3,150,1.000000
24,Legacy3,3,160,1.000000
24,Legacy3,3,170,1.000000
24,Legacy3,3,180,1.000000
24,Legacy3,3,190,1.000000
24,Legacy3,3,200,1.000000
24,Legacy3,3,210,1.000000
24,Legacy3,3,220,1.000000
24,Legacy3,3,230,1.000000
24,Legacy3,3,240,1.000000
24,Legacy3,3,250,1.000000
24,Legacy3,4,0,1.000000
24,Legacy3,4,10,1.000000
24,Legacy3,4,20,1.000000
24,Legacy3,4,30,1.000000
24,Legacy3,4,40,1.000000
24,Legacy3,4,50,1.000000
24,Legacy3,4,60,1.000000
24,Legacy3,4,70,1.000000
24,Legacy3,4,80,1.000000
24,Legacy3,4,90,1.000000
24,Legacy3,4,100,1.000000
24,Legacy3,4,110,1.000000
24,Legacy3,4,120,1.000000
24,Legacy3,4,130,1.000000
24,Legacy3,4,140,1.000000
24,Legacy3,4,150,1.000000
24,Legacy3,4,160,1.000000
24,Legacy3,4,170,1.000000
24,Legacy3,4,180,1.000000
24,Legacy3,4,190,1.000000
24,Legacy3,4,200,1.000000
24,Legacy3,4,210,1.000000
24,Legacy3,4,220,1.000000
24,Legacy3,4,230,1.000000
24,Legacy3,4,240,1.000000
24,Legacy3,4,250,1.000000
24,Legacy3,5,0,1.000000
24,Legacy3,5,10,1.000000
24,Legacy3,5,20,1.000000
24,Legacy3,5,30,1.000000
24,Legacy3,5,40,1.000000
24,Legacy3,5,50,1.000000
24,Legacy3,5,60,1.000000
24,Legacy3,5,70,1.000000
24,Legacy3,5,80,1.000000
24,Legacy3,5,90,1.000000
24,Legacy3,5,100,1.000000
24,Legacy3,5,110,1.000000
24,Legacy3,5,120,1.000000
24,Legacy3,5,130,1.000000
24,Legacy3,5,140,1.000000
24,Legacy3,5,150,1.000000
24,Legacy3,5,160,1.000000
24,Legacy3,5,170,1.000000
24,Legacy3,5,180,1.000000
24,Legacy3,5,190,1.000000
24,Legacy3,5,200,1.000000
24,Legacy3,5,210,1.000000
24,Legacy3,5,220,1.000000
24,Legacy3,5,230,1.000000
24,Legacy3,5,240,1.000000
24,Legacy3,5,250,1.000000
24,Legacy3,6,0,1.000000
24,Legacy3,6,10,1.000000
24,Legacy3,6,20,1.000000
24,Legacy3,6,30,1.000000
24,Legacy3,6,40,1.000000
24,Legacy3,6,50,1.000000
24,Legacy3,6,60,1.000000
24,Legacy3,6,70,1.000000
24,Legacy3,6,80,1.000000
24,Legacy3,6,90,1.000000
24,Legacy3,6,100,1.000000
24,Legacy3,6,110,1.000000
24,Legacy3,6,120,1.000000
24,Legacy3,6,130,1.000000
24,Legacy3,6,140,1.000000
24,Legacy3,6,150,1.000000
24,Legacy3,6,160,1.000000
24,Legacy3,6,170,1.000000
24,Legacy3,6,180,1.000000
24,Legacy3,6,190,1.000000
24,Legacy3,6,200,1.000000
24,Legacy3,6,210,1.000000
24,Legacy3,6,220,1.000000
24,Legacy3,6,230,1.000000
24,Legacy3,6,240,1.000000
24,Legacy3,6,250,1.000000
24,Legacy3,7,0,1.000000
24,Legacy3,7,10,1.000000
24,Legacy3,7,20,1.000000
24,Legacy3,7,30,1.000000
24,Legacy3,7,40,1.000000
24,Legacy3,7,50,1.000000
24,Legacy3,7,60,1.000000
24,Legacy3,7,70,1.000000
24,Legacy3,7,80,1.000000
24,Legacy3,7,90,1.000000
24,Legacy3,7,100,1.000000
24,Legacy3,7,110,1.000000
24,Legacy3,7,120,1.000000
24,Legacy3,7,130,1.000000
24,Legacy3,7,140,1.000000
24,Legacy3,7,150,1.000000
24,Legacy3,7,160,1.000000
24,Legacy3,7,170,1.000000
24,Legacy3,7,180,1.000000
24,Legacy3,7,190,1.000000
24,Legacy3,7,200,1.000000
24,Legacy3,7,210,1.000000
24,Legacy3,7,220,1.000000
24,Legacy3,7,230,1.000000
24,Legacy3,7,240,1.000000
24,Legacy3,7,250,1.000000
24,Legacy3,8,0,1.000000
24,Legacy3,8,10,1.000000
24,Legacy3,8,20,1.000000
24,Legacy3,8,30,1.000000
24,Legacy3,8,40,1.000000
24,Legacy3,8,50,1.000000
24,Legacy3,8,60,1.000000
24,Legacy3,8,70,1.000000
24,Legacy3,8,80,1.000000
24,Legacy3,8,90,1.000000
24,Legacy3,8,100,1.000000
24,Legacy3,8,110,1.000000
24,Legacy3,8,120,1.000000
24,Legacy3,8,130,1.000000
24,Legacy3,8,140,1.000000
24,Legacy3,8,150,1.000000
24,Legacy3,8,160,1.000000
24,Legacy3,8,170,1.000000
24,Legacy3,8,180,1.000000
24,Legacy3,8,190,1.000000
24,Legacy3,8,200,1.000000
24,Legacy3,8,210,1.000000
24,Legacy3,8,220,1.000000
24,Legacy3,8,230,1.000000
24,Legacy3,8,240,1.000000
24,Legacy3,8,250,1.000000
24,Legacy4,0,0,1.000000
24,Legacy4,0,10,1.000000
24,Legacy4,0,20,1.000000
24,Legacy4,0,30,1.000000
24,Legacy4,0,40,1.000000
24,Legacy4,0,50,1.000000
24,Legacy4,0,60,1.000000
24,Legacy4,0,70,1.000000
24,Legacy4,0,80,1.000000
24,Legacy4,0,90,1.000000
24,Legacy4,0,100,1.000000
24,Legacy4,0,110,1.000000
24,Legacy4,0,120,1.000000
24,Legacy4,0,130,1.000000
24,Legacy4,0,140,1.000000
24,Legacy4,0,150,1.000000
24,Legacy4,0,160,1.000000
24,Legacy4,0,170,1.000000
24,Legacy4,0,180,1.000000
24,Legacy4,0,190,1.000000
24,Legacy4,0,200,1.000000
24,Legacy4,0,210,1.000000
24,Legacy4,0,220,1.000000
24,Legacy4,0,230,1.000000
24,Legacy4,0,240,1.000000
24,Legacy4,0,250,1.000000
24,Legacy4,1,0,1.000000
24,Legacy4,1,10,1.000000
24,Legacy4,1,20,1.000000
24,Legacy4,1,30,1.000000
24,Legacy4,1,40,1.000000
24,Legacy4,1,50,1.000000
24,Legacy4,1,60,1.000000
24,Legacy4,1,70,1.000000
24,Legacy4,1,80,1.000000
24,Legacy4,1,90,1.000000
24,Legacy4,1,100,1.000000
24,Legacy4,1,110,1.000000
24,Legacy4,1,120,1.000000
24,Legacy4,1,130,1.000000
24,Legacy4,1,140,1.000000
24,Legacy4,1,150,1.000000
24,Legacy4,1,160,1.000000
24,Legacy4,1,170,1.000000
24,Legacy4,1,180,1.000000
24,Legacy4,1,190,1.000000
24,Legacy4,1,200,1.000000
24,Legacy4,1,210,1.000000
24,Legacy4,1,220,1.000000
24,Legacy4,1,230,1.000000
24,Legacy4,1,240,1.000000
24,Legacy4,1,250,1.000000
24,Legacy4,2,0,1.000000
24,Legacy4,2,10,1.000000
24,Legacy4,2,20,1.000000
24,Legacy4,2,30,1.000000
24,Legacy4,2,40,1.000000
24,Legacy4,2,50,1.000000
24,Legacy4,2,60,1.000000
24,Legacy4,2,70,1.000000
24,Legacy4,2,80,1.000000
24,Legacy4,2,90,1.000000
24,Legacy4,2,100,1.000000
24,Legacy4,2,110,1.000000
24,Legacy4,2,120,1.000000
24,Legacy4,2,130,1.000000
24,Legacy4,2,140,1.000000
24,Legacy4,2,150,1.000000
24,Legacy4,2,160,1.000000
24,Legacy4,2,170,1.000000
24,Legacy4,2,180,1.000000
24,Legacy4,2,190,1.000000
24,Legacy4,2,200,1.000000
24,Legacy4,2,210,1.000000
24,Legacy4,2,220,1.000000
24,Legacy4,2,230,1.000000
24,Legacy4,2,240,1.000000
24,Legacy4,2,250,1.000000
24,Legacy4,3,0,1.000000
24,Legacy4,3,10,1.000000
24,Legacy4,3,20,1.000000
24,Legacy4,3,30,1.000000
24,Legacy4,3,40,1.000000
24,Legacy4,3,50,1.000000
24,Legacy4,3,60,1.000000
24,Legacy4,3,70,1.000000
24,Legacy4,3,80,1.000000
24,Legacy4,3,90,1.000000
24,Legacy4,3,100,1.000000
24,Legacy4,3,110,1.000000
24,Legacy4,3,120,1.000000
24,Legacy4,3,130,1.000000
24,Legacy4,3,140,1.000000
24,Legacy4,3,150,1.000000
24,Legacy4,3,160,1.000000
24,Legacy4,3,170,1.000000
24,Legacy4,3,180,1.000000
24,Legacy4,3,190,1.000000
24,Legacy4,3,200,1.000000
24,Legacy4,3,210,1.000000
24,Legacy4,3,220,1.000000
24,Legacy4,3,230,1.000000
24,Legacy4,3,240,1.000000
24,Legacy4,3,250,1.000000
24,Legacy4,4,0,1.000000
24,Legacy4,4,10,1.000000
24,Legacy4,4,20,1.000000
24,Legacy4,4,30,1.000000
24,Legacy4,4,40,1.000000
24,Legacy4,4,50,1.000000
24,Legacy4,4,60,1.000000
24,Legacy4,4,70,1.000000
24,Legacy4,4,80,1.000000
24,Legacy4,4,90,1.000000
24,Legacy4,4,100,1.000000
24,Legacy4,4,110,1.000000
24,Legacy4,4,120,1.000000
24,Legacy4,4,130,1.000000
24,Legacy4,4,140,1.000000
24,Legacy4,4,150,1.000000
24,Legacy4,4,160,1.000000
24,Legacy4,4,170,1.000000
24,Legacy4,4,180,1.000000
24,Legacy4,4,190,1.000000
24,Legacy4,4,200,1.000000
24,Legacy4,4,210,1.000000
24,Legacy4,4,220,1.000000
24,Legacy4,4,230,1.000000
24,Legacy4,4,240,1.000000
24,Legacy4,4,250,1.000000
24,Legacy4,5,0,1.000000
24,Legacy4,5,10,1.000000
24,Legacy4,5,20,1.000000
24,Legacy4,5,30,1.000000
24,Legacy4,5,40,1.000000
24,Legacy4,5,50,1.000000
24,Legacy4,5,60,1.000000
24,Legacy4,5,70,1.000000
24,Legacy4,5,80,1.000000
24,Legacy4,5,90,1.000000
24,Legacy4,5,100,1.000000
24,Legacy4,5,110,1.000000
24,Legacy4,5,120,1.000000
24,Legacy4,5,130,1.000000
24,Legacy4,5,140,1.000000
24,Legacy4,5,150,1.000000
24,Legacy4,5,160,1.000000
24,Legacy4,5,170,1.000000
24,Legacy4,5,180,1.000000
24,Legacy4,5,190,1.000000
24,Legacy4,5,200,1.000000
24,Legacy4,5,210,1.000000
24,Legacy4,5,220,1.000000
24,Legacy4,5,230,1.000000
24,Legacy4,5,240,1.000000
24,Legacy4,5,250,1.000000
24,Legacy4,6,0,1.000000
24,Legacy4,6,10,1.000000
24,Legacy4,6,20,1.000000
24,Legacy4,6,30,1.000000
24,Legacy4,6,40,1.000000
24,Legacy4,6,50,1.000000
24,Legacy4,6,60,1.000000
24,Legacy4,6,70,1.000000
24,Legacy4,6,80,1.000000
24,Legacy4,6,90,1.000000
24,Legacy4,6,100,1.000000
24,Legacy4,6,110,1.000000
24,Legacy4,6,120,1.000000
24,Legacy4,6,130,1.000000
24,Legacy4,6,140,1.000000
24,Legacy4,6,150,1.000000
24,Legacy4,6,160,1.000000
24,Legacy4,6,170,1.000000
24,Legacy4,6,180,1.000000
24,Legacy4,6,190,1.000000
24,Legacy4,6,200,1.000000
24,Legacy4,6,210,1.000000
24,Legacy4,6,220,1.000000
24,Legacy4,6,230,1.000000
24,Legacy4,6,240,1.000000
24,Legacy4,6,250,1.000000
24,Legacy4,7,0,1.000000
24,Legacy4,7,10,1.000000
24,Legacy4,7,20,1.000000
24,Legacy4,7,30,1.000000
24,Legacy4,7,40,1.000000
24,Legacy4,7,50,1.000000
24,Legacy4,7,60,1.000000
24,Legacy4,7,70,1.000000
24,Legacy4,7,80,1.000000
24,Legacy4,7,90,1.000000
24,Legacy4,7,100,1.000000
24,Legacy4,7,110,1.000000
24,Legacy4,7,120,1.000000
24,Legacy4,7,130,1.000000
24,Legacy4,7,140,1.000000
24,Legacy4,7,150,1.000000
24,Legacy4,7,160,1.000000
24,Legacy4,7,170,1.000000
24,Legacy4,7,180,1.000000
24,Legacy4,7,190,1.000000
24,Legacy4,7,200,1.000000
24,Legacy4,7,210,1.000000
24,Legacy4,7,220,1.000000
24,Legacy4,7,230,1.000000
24,Legacy4,7,240,1.000000
24,Legacy4,7,250,1.000000
24,Legacy4,8,0,1.000000
24,Legacy4,8,10,1.000000
24,Legacy4,8,20,1.000000
24,Legacy4,8,30,1.000000
24,Legacy4,8,40,1.000000
24,Legacy4,8,50,1.000000
24,Legacy4,8,60,1.000000
24,Legacy4,8,70,1.000000
24,Legacy4,8,80,1.000000
24,Legacy4,8,90,1.000000
24,Legacy4,8,100,1.000000
24,Legacy4,8,110,1.000000
24,Legacy4,8,120,1.000000
24,Legacy4,8,130,1.000000
24,Legacy4,8,140,1.000000
24,Legacy4,8,150,1.000000
24,Legacy4,8,160,1.000000
24,Legacy4,8,170,1.000000
24,Legacy4,8,180,1.000000
24,Legacy4,8,190,1.000000
24,Legacy4,8,200,1.000000
24,Legacy4,8,210,1.000000
24,Legacy4,8,220,1.000000
24,Legacy4,8,230,1.000000
24,Legacy4,8,240,1.000000
24,Legacy4,8,250,1.000000
24,Legacy5,0,0,1.000000
24,Legacy5,0,10,1.000000
24,Legacy5,0,20,1.000000
24,Legacy5,0,30,1.000000
24,Legacy5,0,40,1.000000
24,Legacy5,0,50,1.000000
24,Legacy5,0,60,1.000000
24,Legacy5,0,70,1.000000
24,Legacy5,0,80,1.000000
24,Legacy5,0,90,1.000000
24,Legacy5,0,100,1.000000
24,Legacy5,0,110,1.000000
24,Legacy5,0,120,1.000000
24,Legacy5,0,130,1.000000
24,Legacy5,0,140,1.000000
24,Legacy5,0,150,1.000000
24,Legacy5,0,160,1.000000
24,Legacy5,0,170,1.000000
24,Legacy5,0,180,1.000000
24,Legacy5,0,190,1.000000
24,Legacy5,0,200,1.000000
24,Legacy5,0,210,1.000000
24,Legacy5,0,220,1.000000
24,Legacy5,0,230,1.000000
24,Legacy5,0,240,1.000000
24,Legacy5,0,250,1.000000
24,Legacy5,1,0,1.000000
24,Legacy5,1,10,1.000000
24,Legacy5,1,20,1.000000
24,Legacy5,1,30,1.000000
24,Legacy5,1,40,1.000000
24,Legacy5,1,50,1.000000
24,Legacy5,1,60,1.000000
24,Legacy5,1,70,1.000000
24,Legacy5,1,80,1.000000
24,Legacy5,1,90,1.000000
24,Legacy5,1,100,1.000000
24,Legacy5,1,110,1.000000
24,Legacy5,1,120,1.000000
24,Legacy5,1,130,1.000000
24,Legacy5,1,140,1.000000
24,Legacy5,1,150,1.000000
24,Legacy5,1,160,1.000000
24,Legacy5,1,170,1.000000
24,Legacy5,1,180,1.000000
24,Legacy5,1,190,1.000000
24,Legacy5,1,200,1.000000
24,Legacy5,1,210,1.000000
24,Legacy5,1,220,1.000000
24,Legacy5,1,230,1.000000
24,Legacy5,1,240,1.000000
24,Legacy5,1,250,1.000000
24,Legacy5,2,0,1.000000
24,Legacy5,2,10,1.000000
24,Legacy5,2,20,1.000000
24,Legacy5,2,30,1.000000
24,Legacy5,2,40,1.000000
24,Legacy5,2,50,1.000000
24,Legacy5,2,60,1.000000
24,Legacy5,2,70,1.000000
24,Legacy5,2,80,1.000000
24,Legacy5,2,90,1.000000
24,Legacy5,2,100,1.000000
24,Legacy5,2,110,1.000000
24,Legacy5,2,120,1.000000
24,Legacy5,2,130,1.000000
24,Legacy5,2,140,1.000000
24,Legacy5,2,150,1.000000
24,Legacy5,2,160,1.000000
24,Legacy5,2,170,1.000000
24,Legacy5,2,180,1.000000
24,Legacy5,2,190,1.000000
24,Legacy5,2,200,1.000000
24,Legacy5,2,210,1.000000
24,Legacy5,2,220,1.000000
24,Legacy5,2,230,1.000000
24,Legacy5,2,240,1.000000
24,Legacy5,2,250,1.000000
24,Legacy5,3,0,1.000000
24,Legacy5,3,10,1.000000
24,Legacy5,3,20,1.000000
24,Legacy5,3,30,1.000000
24,Legacy5,3,40,1.000000
24,Legacy5,3,50,1.000000
24,Legacy5,3,60,1.000000
24,Legacy5,3,70,1.000000
24,Legacy5,3,80,1.000000
24,Legacy5,3,90,1.000000
24,Legacy5,3,100,1.000000
24,Legacy5,3,110,1.000000
24,Legacy5,3,120,1.000000
24,Legacy5,3,130,1.000000
24,Legacy5,3,140,1.000000
24,Legacy5,3,150,1.000000
24,Legacy5,3,160,1.000000
24,Legacy5,3,170,1.000000
24,Legacy5,3,180,1.000000
24,Legacy5,3,190,1.000000
24,Legacy5,3,200,1.000000
24,Legacy5,3,210,1.000000
24,Legacy5,3,220,1.000000
24,Legacy5,3,230,1.000000
24,Legacy5,3,240,1.000000
24,Legacy5,3,250,1.000000
24,Legacy5,4,0,1.000000
24,Legacy5,4,10,1.000000
24,Legacy5,4,20,1.000000
24,Legacy5,4,30,1.000000
24,Legacy5,4,40,1.000000
24,Legacy5,4,50,1.000000
24,Legacy5,4,60,1.000000
24,Legacy5,4,70,1.000000
24,Legacy5,4,80,1.000000
24,Legacy5,4,90,1.000000
24,Legacy5,4,100,1.000000
24,Legacy5,4,110,1.000000
24,Legacy5,4,120,1.000000
24,Legacy5,4,130,1.000000
24,Legacy5,4,140,1.000000
24,Legacy5,4,150,1.000000
24,Legacy5,4,160,1.000000
24,Legacy5,4,170,1.000000
24,Legacy5,4,180,1.000000
24,Legacy5,4,190,1.000000
24,Legacy5,4,200,1.000000
24,Legacy5,4,210,1.000000
24,Legacy5,4,220,1.000000
24,Legacy5,4,230,1.000000
24,Legacy5,4,240,1.000000
24,Legacy5,4,250,1.000000
24,Legacy5,5,0,1.000000
24,Legacy5,5,10,1.000000
24,Legacy5,5,20,1.000000
24,Legacy5,5,30,1.000000
24,Legacy5,5,40,1.000000
24,Legacy5,5,50,1.000000
24,Legacy5,5,60,1.000000
24,Legacy5,5,70,1.000000
24,Legacy5,5,80,1.000000
24,Legacy5,5,90,1.000000
24,Legacy5,5,100,1.000000
24,Legacy5,5,110,1.000000
24,Legacy5,5,120,1.000000
24,Legacy5,5,130,1.000000
24,Legacy5,5,140,1.000000
24,Legacy5,5,150,1.000000
24,Legacy5,5,160,1.000000
24,Legacy5,5,170,1.000000
24,Legacy5,5,180,1.000000
24,Legacy5,5,190,1.000000
24,Legacy5,5,200,1.000000
24,Legacy5,5,210,1.000000
24,Legacy5,5,220,1.000000
24,Legacy5,5,230,1.000000
24,Legacy5,5,240,1.000000
24,Legacy5,5,250,1.000000
24,Legacy5,6,0,1.000000
24,Legacy5,6,10,1.000000
24,Legacy5,6,20,1.000000
24,Legacy5,6,30,1.000000
24,Legacy5,6,40,1.000000
24,Legacy5,6,50,1.000000
24,Legacy5,6,60,1.000000
24,Legacy5,6,70,1.000000
24,Legacy5,6,80,1.000000
24,Legacy5,6,90,1.000000
24,Legacy5,6,100,1.000000
24,Legacy5,6,110,1.000000
24,Legacy5,6,120,1.000000
24,Legacy5,6,130,1.000000
24,Legacy5,6,140,1.000000
24,Legacy5,6,150,1.000000
24,Legacy5,6,160,1.000000
24,Legacy5,6,170,1.000000
24,Legacy5,6,180,1.000000
24,Legacy5,6,190,1.000000
24,Legacy5,6,200,1.000000
24,Legacy5,6,210,1.000000
24,Legacy5,6,220,1.000000
24,Legacy5,6,230,1.000000
24,Legacy5,6,240,1.000000
24,Legacy5,6,250,1.000000
24,Legacy5,7,0,1.000000
24,Legacy5,7,10,1.000000
24,Legacy5,7,20,1.000000
24,Legacy5,7,30,1.000000
24,Legacy5,7,40,1.000000
24,Legacy5,7,50,1.000000
24,Legacy5,7,60,1.000000
24,Legacy5,7,70,1.000000
24,Legacy5,7,80,1.000000
24,Legacy5,7,90,1.000000
24,Legacy5,7,100,1.000000
24,Legacy5,7,110,1.000000
24,Legacy5,7,120,1.000000
24,Legacy5,7,130,1.000000
24,Legacy5,7,140,1.000000
24,Legacy5,7,150,1.000000
24,Legacy5,7,160,1.000000
24,Legacy5,7,170,1.000000
24,Legacy5,7,180,1.000000
24,Legacy5,7,190,1.000000
24,Legacy5,7,200,1.000000
24,Legacy5,7,210,1.000000
24,Legacy5,7,220,1.000000
24,Legacy5,7,230,1.000000
24,Legacy5,7,240,1.000000
24,Legacy5,7,250,1.000000
24,Legacy5,8,0,1.000000
24,Legacy5,8,10,1.000000
24,Legacy5,8,20,1.000000
24,Legacy5,8,30,1.000000
24,Legacy5,8,40,1.000000
24,Legacy5,8,50,1.000000
24,Legacy5,8,60,1.000000
24,Legacy5,8,70,1.000000
24,Legacy5,8,80,1.000000
24,Legacy5,8,90,1.000000
24,Legacy5,8,100,1.000000
24,Legacy5,8,110,1.000000
24,Legacy5,8,120,1.000000
24,Legacy5,8,130,1.000000
24,Legacy5,8,140,1.000000
24,Legacy5,8,150,1.000000
24,Legacy5,8,160,1.000000
24,Legacy5,8,170,1.000000
24,Legacy5,8,180,1.000000
24,Legacy5,8,190,1.000000
24,Legacy5,8,200,1.000000
24,Legacy5,8,210,1.000000
24,Legacy5,8,220,1.000000
24,Legacy5,8,230,1.000000
24,Legacy5,8,240,1.000000
24,Legacy5,8,250,1.000000
24,Legacy4BNB,0,0,1.000000
24,Legacy4BNB,0,10,1.000000
24,Legacy4BNB,0,20,1.000000
24,Legacy4BNB,0,30,1.000000
24,Legacy4BNB,0,40,1.000000
24,Legacy4BNB,0,50,1.000000
24,Legacy4BNB,0,60,1.000000
24,Legacy4BNB,0,70,1.000000
24,Legacy4BNB,0,80,1.000000
24,Legacy4BNB,0,90,1.000000
24,Legacy4BNB,0,100,1.000000
24,Legacy4BNB,0,110,1.000000
24,Legacy4BNB,0,120,1.000000
24,Legacy4BNB,0,130,1.000000
24,Legacy4BNB,0,140,1.000000
24,Legacy4BNB,0,150,1.000000
24,Legacy4BNB,0,160,1.000000
24,Legacy4BNB,0,170,1.000000
24,Legacy4BNB,0,180,1.000000
24,Legacy4BNB,0,190,1.000000
24,Legacy4BNB,0,200,1.000000
24,Legacy4BNB,0,210,1.000000
24,Legacy4BNB,0,220,1.000000
24,Legacy4BNB,0,230,1.000000
24,Legacy4BNB,0,240,1.000000
24,Legacy4BNB,0,250,1.000000
24,Legacy4BNB,1,0,1.000000
24,Legacy4BNB,1,10,1.000000
24,Legacy4BNB,1,20,1.000000
24,Legacy4BNB,1,30,1.000000
24,Legacy4BNB,1,40,1.000000
24,Legacy4BNB,1,50,1.000000
24,Legacy4BNB,1,60,1.000000
24,Legacy4BNB,1,70,1.000000
24,Legacy4BNB,1,80,1.000000
24,Legacy4BNB,1,90,1.000000
24,Legacy4BNB,1,100,1.000000
24,Legacy4BNB,1,110,1.000000
24,Legacy4BNB,1,120,1.000000
24,Legacy4BNB,1,130,1.000000
24,Legacy4BNB,1,140,1.000000
24,Legacy4BNB,1,150,1.000000
24,Legacy4BNB,1,160,1.000000
24,Legacy4BNB,1,170,1.000000
24,Legacy4BNB,1,180,1.000000
24,Legacy4BNB,1,190,1.000000
24,Legacy4BNB,1,200,1.000000
24,Legacy4BNB,1,210,1.000000
24,Legacy4BNB,1,220,1.000000
24,Legacy4BNB,1,230,1.000000
24,Legacy4BNB,1,240,1.000000
24,Legacy4BNB,1,250,1.000000
24,Legacy4BNB,2,0,1.000000
