atr_mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
1.1,Legacy3,1,1.1921,1.439767,29.9254,13,46.1538,true
1.1,Legacy3,2,68.2893,3.855172,29.0006,15,33.3333,true
1.1,Legacy3,3,93.1903,5.877812,44.3284,15,46.6667,true
1.1,Legacy3,4,-46.4541,-5.044401,49.5315,12,25.0000,false
1.1,Legacy3,5,-52.8482,-4.800541,58.4518,16,25.0000,false
1.1,LowVolume5,0,206.8880,8.293298,24.3660,16,56.2500,true
1.1,LowVolume5,1,-8.6510,0.188061,39.9735,14,50.0000,false
1.1,LowVolume5,2,464.1513,10.786017,31.6482,15,60.0000,true
1.1,LowVolume5,3,448.5580,9.601788,46.3998,14,50.0000,true
1.1,LowVolume5,4,-48.5591,-4.593148,49.4247,13,30.7692,false
1.1,LowVolume5,5,-71.3560,-6.457310,79.3294,18,22.2222,false
1.1,OldGuard4,0,167.7465,7.233455,35.1324,15,53.3333,true
1.1,OldGuard4,1,-17.4653,-0.911541,35.1929,12,50.0000,false
1.1,OldGuard4,2,73.1319,3.960474,28.8493,15,40.0000,true
1.1,OldGuard4,3,93.1903,5.877812,44.3284,15,46.6667,true
1.1,OldGuard4,4,-53.0784,-6.142120,53.0784,13,15.3846,false
1.1,OldGuard4,5,-72.9311,-9.923558,76.1481,17,23.5294,false
1.2,Base5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.2,Base5,1,925.6927,7.328820,11.7317,11,63.6364,true
1.2,Base5,2,213.4453,7.560992,25.0490,12,75.0000,true
1.2,Base5,3,68.7150,5.264204,40.2523,15,66.6667,true
1.2,Base5,4,3.3715,1.331435,29.6144,13,53.8462,true
1.2,Base5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.2,NoDOGE,0,379.5913,9.479158,54.5961,14,57.1429,true
1.2,NoDOGE,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.2,NoDOGE,2,142.8462,5.830218,25.0490,13,53.8462,true
1.2,NoDOGE,3,185.3008,9.482533,31.9082,14,78.5714,true
1.2,NoDOGE,4,3.3715,1.331435,29.6144,13,53.8462,true
1.2,NoDOGE,5,3.1592,1.487378,27.0976,13,38.4615,true
1.2,Legacy4,0,129.0441,9.738935,10.7657,14,57.1429,true
1.2,Legacy4,1,18.6460,2.960657,27.9749,13,46.1538,true
1.2,Legacy4,2,133.1082,5.664092,25.0490,12,50.0000,true
1.2,Legacy4,3,74.5326,5.809872,42.1582,14,57.1429,true
1.2,Legacy4,4,31.5061,4.134200,27.0521,12,58.3333,true
1.2,Legacy4,5,-31.7390,-3.052461,35.3237,14,21.4286,false
1.2,Legacy5BNB,0,245.7301,13.019370,10.5314,14,64.2857,true
1.2,Legacy5BNB,1,18.6499,3.397832,22.7093,11,36.3636,true
1.2,Legacy5BNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.2,Legacy5BNB,3,154.1722,10.473935,17.5780,13,61.5385,true
1.2,Legacy5BNB,4,50.1173,6.537078,14.8356,10,60.0000,true
1.2,Legacy5BNB,5,-57.0628,-9.440296,57.6435,12,25.0000,false
1.2,OldGuardNoBNB,0,238.1288,8.333382,39.1195,15,53.3333,true
1.2,OldGuardNoBNB,1,-56.9111,-10.201784,57.6645,13,30.7692,false
1.2,OldGuardNoBNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.2,OldGuardNoBNB,3,74.5326,5.809872,42.1582,14,57.1429,true
1.2,OldGuardNoBNB,4,31.5061,4.134200,27.0521,12,58.3333,true
1.2,OldGuardNoBNB,5,-60.8128,-10.092329,60.8128,15,20.0000,false
1.2,LargeCaps5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.2,LargeCaps5,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.2,LargeCaps5,2,142.8462,5.830218,25.0490,13,53.8462,true
1.2,LargeCaps5,3,72.2119,5.628118,39.5741,13,69.2308,true
1.2,LargeCaps5,4,15.6487,2.689620,23.4937,12,58.3333,true
1.2,LargeCaps5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.2,Legacy3,0,298.3227,14.604846,9.0386,13,69.2308,true
1.2,Legacy3,1,1.1921,1.439767,29.9254,13,46.1538,true
1.2,Legacy3,2,68.2893,3.855172,29.0006,15,33.3333,true
1.2,Legacy3,3,93.1903,5.877812,44.3284,15,46.6667,true
1.2,Legacy3,4,-46.4541,-5.044401,49.5315,12,25.0000,false
1.2,Legacy3,5,-52.8482,-4.800541,58.4518,16,25.0000,false
1.2,LowVolume5,0,206.8880,8.293298,24.3660,16,56.2500,true
1.2,LowVolume5,1,-8.6510,0.188061,39.9735,14,50.0000,false
1.2,LowVolume5,2,464.1513,10.786017,31.6482,15,60.0000,true
1.2,LowVolume5,3,448.5580,9.601788,46.3998,14,50.0000,true
1.2,LowVolume5,4,-48.5591,-4.593148,49.4247,13,30.7692,false
1.2,LowVolume5,5,-71.3560,-6.457310,79.3294,18,22.2222,false
1.2,OldGuard4,0,167.7465,7.233455,35.1324,15,53.3333,true
1.2,OldGuard4,1,-17.4653,-0.911541,35.1929,12,50.0000,false
1.2,OldGuard4,2,73.1319,3.960474,28.8493,15,40.0000,true
1.2,OldGuard4,3,93.1903,5.877812,44.3284,15,46.6667,true
1.2,OldGuard4,4,-53.0784,-6.142120,53.0784,13,15.3846,false
1.2,OldGuard4,5,-72.9311,-9.923558,76.1481,17,23.5294,false
1.3,Base5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.3,Base5,1,925.6927,7.328820,11.7317,11,63.6364,true
1.3,Base5,2,213.4453,7.560992,25.0490,12,75.0000,true
1.3,Base5,3,68.7150,5.264204,40.2523,15,66.6667,true
1.3,Base5,4,3.3715,1.331435,29.6144,13,53.8462,true
1.3,Base5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.3,NoDOGE,0,379.5913,9.479158,54.5961,14,57.1429,true
1.3,NoDOGE,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.3,NoDOGE,2,142.8462,5.830218,25.0490,13,53.8462,true
1.3,NoDOGE,3,185.3008,9.482533,31.9082,14,78.5714,true
1.3,NoDOGE,4,3.3715,1.331435,29.6144,13,53.8462,true
1.3,NoDOGE,5,3.1592,1.487378,27.0976,13,38.4615,true
1.3,Legacy4,0,129.0441,9.738935,10.7657,14,57.1429,true
1.3,Legacy4,1,18.6460,2.960657,27.9749,13,46.1538,true
1.3,Legacy4,2,133.1082,5.664092,25.0490,12,50.0000,true
1.3,Legacy4,3,74.5326,5.809872,42.1582,14,57.1429,true
1.3,Legacy4,4,31.5061,4.134200,27.0521,12,58.3333,true
1.3,Legacy4,5,-31.7390,-3.052461,35.3237,14,21.4286,false
1.3,Legacy5BNB,0,245.7301,13.019370,10.5314,14,64.2857,true
1.3,Legacy5BNB,1,18.6499,3.397832,22.7093,11,36.3636,true
1.3,Legacy5BNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.3,Legacy5BNB,3,154.1722,10.473935,17.5780,13,61.5385,true
1.3,Legacy5BNB,4,50.1173,6.537078,14.8356,10,60.0000,true
1.3,Legacy5BNB,5,-57.0628,-9.440296,57.6435,12,25.0000,false
1.3,OldGuardNoBNB,0,238.1288,8.333382,39.1195,15,53.3333,true
1.3,OldGuardNoBNB,1,-56.9111,-10.201784,57.6645,13,30.7692,false
1.3,OldGuardNoBNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.3,OldGuardNoBNB,3,74.5326,5.809872,42.1582,14,57.1429,true
1.3,OldGuardNoBNB,4,31.5061,4.134200,27.0521,12,58.3333,true
1.3,OldGuardNoBNB,5,-60.8128,-10.092329,60.8128,15,20.0000,false
1.3,LargeCaps5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.3,LargeCaps5,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.3,LargeCaps5,2,142.8462,5.830218,25.0490,13,53.8462,true
1.3,LargeCaps5,3,72.2119,5.628118,39.5741,13,69.2308,true
1.3,LargeCaps5,4,15.6487,2.689620,23.4937,12,58.3333,true
1.3,LargeCaps5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.3,Legacy3,0,298.3227,14.604846,9.0386,13,69.2308,true
1.3,Legacy3,1,1.1921,1.439767,29.9254,13,46.1538,true
1.3,Legacy3,2,68.2893,3.855172,29.0006,15,33.3333,true
1.3,Legacy3,3,93.1903,5.877812,44.3284,15,46.6667,true
1.3,Legacy3,4,-46.4541,-5.044401,49.5315,12,25.0000,false
1.3,Legacy3,5,-52.8482,-4.800541,58.4518,16,25.0000,false
1.3,LowVolume5,0,206.8880,8.293298,24.3660,16,56.2500,true
1.3,LowVolume5,1,-8.6510,0.188061,39.9735,14,50.0000,false
1.3,LowVolume5,2,464.1513,10.786017,31.6482,15,60.0000,true
1.3,LowVolume5,3,448.5580,9.601788,46.3998,14,50.0000,true
1.3,LowVolume5,4,-48.5591,-4.593148,49.4247,13,30.7692,false
1.3,LowVolume5,5,-71.3560,-6.457310,79.3294,18,22.2222,false
1.3,OldGuard4,0,167.7465,7.233455,35.1324,15,53.3333,true
1.3,OldGuard4,1,-17.4653,-0.911541,35.1929,12,50.0000,false
1.3,OldGuard4,2,73.1319,3.960474,28.8493,15,40.0000,true
1.3,OldGuard4,3,93.1903,5.877812,44.3284,15,46.6667,true
1.3,OldGuard4,4,-53.0784,-6.142120,53.0784,13,15.3846,false
1.3,OldGuard4,5,-72.9311,-9.923558,76.1481,17,23.5294,false
1.4,Base5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.4,Base5,1,925.6927,7.328820,11.7317,11,63.6364,true
1.4,Base5,2,213.4453,7.560992,25.0490,12,75.0000,true
1.4,Base5,3,68.7150,5.264204,40.2523,15,66.6667,true
1.4,Base5,4,3.3715,1.331435,29.6144,13,53.8462,true
1.4,Base5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.4,NoDOGE,0,379.5913,9.479158,54.5961,14,57.1429,true
1.4,NoDOGE,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.4,NoDOGE,2,142.8462,5.830218,25.0490,13,53.8462,true
1.4,NoDOGE,3,185.3008,9.482533,31.9082,14,78.5714,true
1.4,NoDOGE,4,3.3715,1.331435,29.6144,13,53.8462,true
1.4,NoDOGE,5,3.1592,1.487378,27.0976,13,38.4615,true
1.4,Legacy4,0,129.0441,9.738935,10.7657,14,57.1429,true
1.4,Legacy4,1,18.6460,2.960657,27.9749,13,46.1538,true
1.4,Legacy4,2,133.1082,5.664092,25.0490,12,50.0000,true
1.4,Legacy4,3,74.5326,5.809872,42.1582,14,57.1429,true
1.4,Legacy4,4,31.5061,4.134200,27.0521,12,58.3333,true
1.4,Legacy4,5,-31.7390,-3.052461,35.3237,14,21.4286,false
1.4,Legacy5BNB,0,245.7301,13.019370,10.5314,14,64.2857,true
1.4,Legacy5BNB,1,18.6499,3.397832,22.7093,11,36.3636,true
1.4,Legacy5BNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.4,Legacy5BNB,3,154.1722,10.473935,17.5780,13,61.5385,true
1.4,Legacy5BNB,4,50.1173,6.537078,14.8356,10,60.0000,true
1.4,Legacy5BNB,5,-57.0628,-9.440296,57.6435,12,25.0000,false
1.4,OldGuardNoBNB,0,238.1288,8.333382,39.1195,15,53.3333,true
1.4,OldGuardNoBNB,1,-56.9111,-10.201784,57.6645,13,30.7692,false
1.4,OldGuardNoBNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.4,OldGuardNoBNB,3,74.5326,5.809872,42.1582,14,57.1429,true
1.4,OldGuardNoBNB,4,31.5061,4.134200,27.0521,12,58.3333,true
1.4,OldGuardNoBNB,5,-60.8128,-10.092329,60.8128,15,20.0000,false
1.4,LargeCaps5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.4,LargeCaps5,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.4,LargeCaps5,2,142.8462,5.830218,25.0490,13,53.8462,true
1.4,LargeCaps5,3,72.2119,5.628118,39.5741,13,69.2308,true
1.4,LargeCaps5,4,15.6487,2.689620,23.4937,12,58.3333,true
1.4,LargeCaps5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.4,Legacy3,0,298.3227,14.604846,9.0386,13,69.2308,true
1.4,Legacy3,1,1.1921,1.439767,29.9254,13,46.1538,true
1.4,Legacy3,2,68.2893,3.855172,29.0006,15,33.3333,true
1.4,Legacy3,3,93.1903,5.877812,44.3284,15,46.6667,true
1.4,Legacy3,4,-46.4541,-5.044401,49.5315,12,25.0000,false
1.4,Legacy3,5,-52.8482,-4.800541,58.4518,16,25.0000,false
1.4,LowVolume5,0,206.8880,8.293298,24.3660,16,56.2500,true
1.4,LowVolume5,1,-8.6510,0.188061,39.9735,14,50.0000,false
1.4,LowVolume5,2,464.1513,10.786017,31.6482,15,60.0000,true
1.4,LowVolume5,3,448.5580,9.601788,46.3998,14,50.0000,true
1.4,LowVolume5,4,-48.5591,-4.593148,49.4247,13,30.7692,false
1.4,LowVolume5,5,-71.3560,-6.457310,79.3294,18,22.2222,false
1.4,OldGuard4,0,167.7465,7.233455,35.1324,15,53.3333,true
1.4,OldGuard4,1,-17.4653,-0.911541,35.1929,12,50.0000,false
1.4,OldGuard4,2,73.1319,3.960474,28.8493,15,40.0000,true
1.4,OldGuard4,3,93.1903,5.877812,44.3284,15,46.6667,true
1.4,OldGuard4,4,-53.0784,-6.142120,53.0784,13,15.3846,false
1.4,OldGuard4,5,-72.9311,-9.923558,76.1481,17,23.5294,false
1.5,Base5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.5,Base5,1,925.6927,7.328820,11.7317,11,63.6364,true
1.5,Base5,2,213.4453,7.560992,25.0490,12,75.0000,true
1.5,Base5,3,68.7150,5.264204,40.2523,15,66.6667,true
1.5,Base5,4,3.3715,1.331435,29.6144,13,53.8462,true
1.5,Base5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.5,NoDOGE,0,379.5913,9.479158,54.5961,14,57.1429,true
1.5,NoDOGE,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.5,NoDOGE,2,142.8462,5.830218,25.0490,13,53.8462,true
1.5,NoDOGE,3,185.3008,9.482533,31.9082,14,78.5714,true
1.5,NoDOGE,4,3.3715,1.331435,29.6144,13,53.8462,true
1.5,NoDOGE,5,3.1592,1.487378,27.0976,13,38.4615,true
1.5,Legacy4,0,129.0441,9.738935,10.7657,14,57.1429,true
1.5,Legacy4,1,18.6460,2.960657,27.9749,13,46.1538,true
1.5,Legacy4,2,133.1082,5.664092,25.0490,12,50.0000,true
1.5,Legacy4,3,74.5326,5.809872,42.1582,14,57.1429,true
1.5,Legacy4,4,31.5061,4.134200,27.0521,12,58.3333,true
1.5,Legacy4,5,-31.7390,-3.052461,35.3237,14,21.4286,false
1.5,Legacy5BNB,0,245.7301,13.019370,10.5314,14,64.2857,true
1.5,Legacy5BNB,1,18.6499,3.397832,22.7093,11,36.3636,true
1.5,Legacy5BNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.5,Legacy5BNB,3,154.1722,10.473935,17.5780,13,61.5385,true
1.5,Legacy5BNB,4,50.1173,6.537078,14.8356,10,60.0000,true
1.5,Legacy5BNB,5,-57.0628,-9.440296,57.6435,12,25.0000,false
1.5,OldGuardNoBNB,0,238.1288,8.333382,39.1195,15,53.3333,true
1.5,OldGuardNoBNB,1,-56.9111,-10.201784,57.6645,13,30.7692,false
1.5,OldGuardNoBNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.5,OldGuardNoBNB,3,74.5326,5.809872,42.1582,14,57.1429,true
1.5,OldGuardNoBNB,4,31.5061,4.134200,27.0521,12,58.3333,true
1.5,OldGuardNoBNB,5,-60.8128,-10.092329,60.8128,15,20.0000,false
1.5,LargeCaps5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.5,LargeCaps5,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.5,LargeCaps5,2,142.8462,5.830218,25.0490,13,53.8462,true
1.5,LargeCaps5,3,72.2119,5.628118,39.5741,13,69.2308,true
1.5,LargeCaps5,4,15.6487,2.689620,23.4937,12,58.3333,true
1.5,LargeCaps5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.5,Legacy3,0,298.3227,14.604846,9.0386,13,69.2308,true
1.5,Legacy3,1,1.1921,1.439767,29.9254,13,46.1538,true
1.5,Legacy3,2,68.2893,3.855172,29.0006,15,33.3333,true
1.5,Legacy3,3,93.1903,5.877812,44.3284,15,46.6667,true
1.5,Legacy3,4,-46.4541,-5.044401,49.5315,12,25.0000,false
1.5,Legacy3,5,-52.8482,-4.800541,58.4518,16,25.0000,false
1.5,LowVolume5,0,206.8880,8.293298,24.3660,16,56.2500,true
1.5,LowVolume5,1,-8.6510,0.188061,39.9735,14,50.0000,false
1.5,LowVolume5,2,464.1513,10.786017,31.6482,15,60.0000,true
1.5,LowVolume5,3,448.5580,9.601788,46.3998,14,50.0000,true
1.5,LowVolume5,4,-48.5591,-4.593148,49.4247,13,30.7692,false
1.5,LowVolume5,5,-71.3560,-6.457310,79.3294,18,22.2222,false
1.5,OldGuard4,0,167.7465,7.233455,35.1324,15,53.3333,true
1.5,OldGuard4,1,-17.4653,-0.911541,35.1929,12,50.0000,false
1.5,OldGuard4,2,73.1319,3.960474,28.8493,15,40.0000,true
1.5,OldGuard4,3,93.1903,5.877812,44.3284,15,46.6667,true
1.5,OldGuard4,4,-53.0784,-6.142120,53.0784,13,15.3846,false
1.5,OldGuard4,5,-72.9311,-9.923558,76.1481,17,23.5294,false
1.6,Base5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.6,Base5,1,925.6927,7.328820,11.7317,11,63.6364,true
1.6,Base5,2,213.4453,7.560992,25.0490,12,75.0000,true
1.6,Base5,3,68.7150,5.264204,40.2523,15,66.6667,true
1.6,Base5,4,3.3715,1.331435,29.6144,13,53.8462,true
1.6,Base5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.6,NoDOGE,0,379.5913,9.479158,54.5961,14,57.1429,true
1.6,NoDOGE,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.6,NoDOGE,2,142.8462,5.830218,25.0490,13,53.8462,true
1.6,NoDOGE,3,185.3008,9.482533,31.9082,14,78.5714,true
1.6,NoDOGE,4,3.3715,1.331435,29.6144,13,53.8462,true
1.6,NoDOGE,5,3.1592,1.487378,27.0976,13,38.4615,true
1.6,Legacy4,0,129.0441,9.738935,10.7657,14,57.1429,true
1.6,Legacy4,1,18.6460,2.960657,27.9749,13,46.1538,true
1.6,Legacy4,2,133.1082,5.664092,25.0490,12,50.0000,true
1.6,Legacy4,3,74.5326,5.809872,42.1582,14,57.1429,true
1.6,Legacy4,4,31.5061,4.134200,27.0521,12,58.3333,true
1.6,Legacy4,5,-31.7390,-3.052461,35.3237,14,21.4286,false
1.6,Legacy5BNB,0,245.7301,13.019370,10.5314,14,64.2857,true
1.6,Legacy5BNB,1,18.6499,3.397832,22.7093,11,36.3636,true
1.6,Legacy5BNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.6,Legacy5BNB,3,154.1722,10.473935,17.5780,13,61.5385,true
1.6,Legacy5BNB,4,50.1173,6.537078,14.8356,10,60.0000,true
1.6,Legacy5BNB,5,-57.0628,-9.440296,57.6435,12,25.0000,false
1.6,OldGuardNoBNB,0,238.1288,8.333382,39.1195,15,53.3333,true
1.6,OldGuardNoBNB,1,-56.9111,-10.201784,57.6645,13,30.7692,false
1.6,OldGuardNoBNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.6,OldGuardNoBNB,3,74.5326,5.809872,42.1582,14,57.1429,true
1.6,OldGuardNoBNB,4,31.5061,4.134200,27.0521,12,58.3333,true
1.6,OldGuardNoBNB,5,-60.8128,-10.092329,60.8128,15,20.0000,false
1.6,LargeCaps5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.6,LargeCaps5,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.6,LargeCaps5,2,142.8462,5.830218,25.0490,13,53.8462,true
1.6,LargeCaps5,3,72.2119,5.628118,39.5741,13,69.2308,true
1.6,LargeCaps5,4,15.6487,2.689620,23.4937,12,58.3333,true
1.6,LargeCaps5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.6,Legacy3,0,298.3227,14.604846,9.0386,13,69.2308,true
1.6,Legacy3,1,1.1921,1.439767,29.9254,13,46.1538,true
1.6,Legacy3,2,68.2893,3.855172,29.0006,15,33.3333,true
1.6,Legacy3,3,93.1903,5.877812,44.3284,15,46.6667,true
1.6,Legacy3,4,-46.4541,-5.044401,49.5315,12,25.0000,false
1.6,Legacy3,5,-52.8482,-4.800541,58.4518,16,25.0000,false
1.6,LowVolume5,0,206.8880,8.293298,24.3660,16,56.2500,true
1.6,LowVolume5,1,-8.6510,0.188061,39.9735,14,50.0000,false
1.6,LowVolume5,2,464.1513,10.786017,31.6482,15,60.0000,true
1.6,LowVolume5,3,448.5580,9.601788,46.3998,14,50.0000,true
1.6,LowVolume5,4,-48.5591,-4.593148,49.4247,13,30.7692,false
1.6,LowVolume5,5,-71.3560,-6.457310,79.3294,18,22.2222,false
1.6,OldGuard4,0,167.7465,7.233455,35.1324,15,53.3333,true
1.6,OldGuard4,1,-17.4653,-0.911541,35.1929,12,50.0000,false
1.6,OldGuard4,2,73.1319,3.960474,28.8493,15,40.0000,true
1.6,OldGuard4,3,93.1903,5.877812,44.3284,15,46.6667,true
1.6,OldGuard4,4,-53.0784,-6.142120,53.0784,13,15.3846,false
1.6,OldGuard4,5,-72.9311,-9.923558,76.1481,17,23.5294,false
1.7,Base5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.7,Base5,1,925.6927,7.328820,11.7317,11,63.6364,true
1.7,Base5,2,213.4453,7.560992,25.0490,12,75.0000,true
1.7,Base5,3,68.7150,5.264204,40.2523,15,66.6667,true
1.7,Base5,4,3.3715,1.331435,29.6144,13,53.8462,true
1.7,Base5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.7,NoDOGE,0,379.5913,9.479158,54.5961,14,57.1429,true
1.7,NoDOGE,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.7,NoDOGE,2,142.8462,5.830218,25.0490,13,53.8462,true
1.7,NoDOGE,3,185.3008,9.482533,31.9082,14,78.5714,true
1.7,NoDOGE,4,3.3715,1.331435,29.6144,13,53.8462,true
1.7,NoDOGE,5,3.1592,1.487378,27.0976,13,38.4615,true
1.7,Legacy4,0,129.0441,9.738935,10.7657,14,57.1429,true
1.7,Legacy4,1,18.6460,2.960657,27.9749,13,46.1538,true
1.7,Legacy4,2,133.1082,5.664092,25.0490,12,50.0000,true
1.7,Legacy4,3,74.5326,5.809872,42.1582,14,57.1429,true
1.7,Legacy4,4,31.5061,4.134200,27.0521,12,58.3333,true
1.7,Legacy4,5,-31.7390,-3.052461,35.3237,14,21.4286,false
1.7,Legacy5BNB,0,245.7301,13.019370,10.5314,14,64.2857,true
1.7,Legacy5BNB,1,18.6499,3.397832,22.7093,11,36.3636,true
1.7,Legacy5BNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.7,Legacy5BNB,3,154.1722,10.473935,17.5780,13,61.5385,true
1.7,Legacy5BNB,4,50.1173,6.537078,14.8356,10,60.0000,true
1.7,Legacy5BNB,5,-57.0628,-9.440296,57.6435,12,25.0000,false
1.7,OldGuardNoBNB,0,238.1288,8.333382,39.1195,15,53.3333,true
1.7,OldGuardNoBNB,1,-56.9111,-10.201784,57.6645,13,30.7692,false
1.7,OldGuardNoBNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.7,OldGuardNoBNB,3,74.5326,5.809872,42.1582,14,57.1429,true
1.7,OldGuardNoBNB,4,31.5061,4.134200,27.0521,12,58.3333,true
1.7,OldGuardNoBNB,5,-60.8128,-10.092329,60.8128,15,20.0000,false
1.7,LargeCaps5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.7,LargeCaps5,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.7,LargeCaps5,2,142.8462,5.830218,25.0490,13,53.8462,true
1.7,LargeCaps5,3,72.2119,5.628118,39.5741,13,69.2308,true
1.7,LargeCaps5,4,15.6487,2.689620,23.4937,12,58.3333,true
1.7,LargeCaps5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.7,Legacy3,0,298.3227,14.604846,9.0386,13,69.2308,true
1.7,Legacy3,1,1.1921,1.439767,29.9254,13,46.1538,true
1.7,Legacy3,2,68.2893,3.855172,29.0006,15,33.3333,true
1.7,Legacy3,3,93.1903,5.877812,44.3284,15,46.6667,true
1.7,Legacy3,4,-46.4541,-5.044401,49.5315,12,25.0000,false
1.7,Legacy3,5,-52.8482,-4.800541,58.4518,16,25.0000,false
1.7,LowVolume5,0,206.8880,8.293298,24.3660,16,56.2500,true
1.7,LowVolume5,1,-8.6510,0.188061,39.9735,14,50.0000,false
1.7,LowVolume5,2,464.1513,10.786017,31.6482,15,60.0000,true
1.7,LowVolume5,3,448.5580,9.601788,46.3998,14,50.0000,true
1.7,LowVolume5,4,-48.5591,-4.593148,49.4247,13,30.7692,false
1.7,LowVolume5,5,-71.3560,-6.457310,79.3294,18,22.2222,false
1.7,OldGuard4,0,167.7465,7.233455,35.1324,15,53.3333,true
1.7,OldGuard4,1,-17.4653,-0.911541,35.1929,12,50.0000,false
1.7,OldGuard4,2,73.1319,3.960474,28.8493,15,40.0000,true
1.7,OldGuard4,3,93.1903,5.877812,44.3284,15,46.6667,true
1.7,OldGuard4,4,-53.0784,-6.142120,53.0784,13,15.3846,false
1.7,OldGuard4,5,-72.9311,-9.923558,76.1481,17,23.5294,false
1.8,Base5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.8,Base5,1,925.6927,7.328820,11.7317,11,63.6364,true
1.8,Base5,2,213.4453,7.560992,25.0490,12,75.0000,true
1.8,Base5,3,68.7150,5.264204,40.2523,15,66.6667,true
1.8,Base5,4,3.3715,1.331435,29.6144,13,53.8462,true
1.8,Base5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.8,NoDOGE,0,379.5913,9.479158,54.5961,14,57.1429,true
1.8,NoDOGE,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.8,NoDOGE,2,142.8462,5.830218,25.0490,13,53.8462,true
1.8,NoDOGE,3,185.3008,9.482533,31.9082,14,78.5714,true
1.8,NoDOGE,4,3.3715,1.331435,29.6144,13,53.8462,true
1.8,NoDOGE,5,3.1592,1.487378,27.0976,13,38.4615,true
1.8,Legacy4,0,129.0441,9.738935,10.7657,14,57.1429,true
1.8,Legacy4,1,18.6460,2.960657,27.9749,13,46.1538,true
1.8,Legacy4,2,133.1082,5.664092,25.0490,12,50.0000,true
1.8,Legacy4,3,74.5326,5.809872,42.1582,14,57.1429,true
1.8,Legacy4,4,31.5061,4.134200,27.0521,12,58.3333,true
1.8,Legacy4,5,-31.7390,-3.052461,35.3237,14,21.4286,false
1.8,Legacy5BNB,0,245.7301,13.019370,10.5314,14,64.2857,true
1.8,Legacy5BNB,1,18.6499,3.397832,22.7093,11,36.3636,true
1.8,Legacy5BNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.8,Legacy5BNB,3,154.1722,10.473935,17.5780,13,61.5385,true
1.8,Legacy5BNB,4,50.1173,6.537078,14.8356,10,60.0000,true
1.8,Legacy5BNB,5,-57.0628,-9.440296,57.6435,12,25.0000,false
1.8,OldGuardNoBNB,0,238.1288,8.333382,39.1195,15,53.3333,true
1.8,OldGuardNoBNB,1,-56.9111,-10.201784,57.6645,13,30.7692,false
1.8,OldGuardNoBNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.8,OldGuardNoBNB,3,74.5326,5.809872,42.1582,14,57.1429,true
1.8,OldGuardNoBNB,4,31.5061,4.134200,27.0521,12,58.3333,true
