universe,window,bar_idx,equity
Base5,0,0,1.000000
Base5,0,1,1.000000
Base5,0,2,1.000000
Base5,0,3,1.000000
Base5,0,4,1.000000
Base5,0,5,1.000000
Base5,0,6,1.000000
Base5,0,7,1.000000
Base5,0,8,1.000000
Base5,0,9,1.000000
Base5,0,10,1.000000
Base5,0,11,1.000000
Base5,0,12,1.000000
Base5,0,13,1.000000
Base5,0,14,1.000000
Base5,0,15,1.000000
Base5,0,16,1.000000
Base5,0,17,1.000000
Base5,0,18,1.000000
Base5,0,19,1.000000
Base5,0,20,1.000000
Base5,0,21,1.000000
Base5,0,22,1.000000
Base5,0,23,1.000000
Base5,0,24,1.000000
Base5,0,25,1.000000
Base5,0,26,1.000000
Base5,0,27,1.000000
Base5,0,28,1.000000
Base5,0,29,1.000000
Base5,0,30,1.000000
Base5,0,31,1.000000
Base5,0,32,1.000000
Base5,0,33,1.000000
Base5,0,34,1.000000
Base5,0,35,1.000000
Base5,0,36,1.000000
Base5,0,37,1.000000
Base5,0,38,1.000000
Base5,0,39,1.000000
Base5,0,40,1.000000
Base5,0,41,1.000000
Base5,0,42,0.989123
Base5,0,43,1.842564
Base5,0,44,1.842564
Base5,0,45,1.842564
Base5,0,46,1.842564
Base5,0,47,1.842564
Base5,0,48,1.842564
Base5,0,49,1.842564
Base5,0,50,1.842564
Base5,0,51,1.842564
Base5,0,52,1.842564
Base5,0,53,1.842564
Base5,0,54,1.842564
Base5,0,55,1.842564
Base5,0,56,1.842564
Base5,0,57,1.842564
Base5,0,58,1.842564
Base5,0,59,1.842564
Base5,0,60,1.902355
Base5,0,61,1.902355
Base5,0,62,1.902355
Base5,0,63,1.902355
Base5,0,64,1.902355
Base5,0,65,1.902355
Base5,0,66,1.902355
Base5,0,67,2.046862
Base5,0,68,2.046862
Base5,0,69,2.773673
Base5,0,70,2.773673
Base5,0,71,2.773673
Base5,0,72,2.773673
Base5,0,73,2.773673
Base5,0,74,2.773673
Base5,0,75,2.607658
Base5,0,76,2.607658
Base5,0,77,2.607658
Base5,0,78,2.607658
Base5,0,79,2.607658
Base5,0,80,2.607658
Base5,0,81,2.607658
Base5,0,82,2.607658
Base5,0,83,2.607658
Base5,0,84,2.607658
Base5,0,85,2.607658
Base5,0,86,2.607658
Base5,0,87,3.067785
Base5,0,88,3.067785
Base5,0,89,3.067785
Base5,0,90,3.067785
Base5,0,91,3.067785
Base5,0,92,3.067785
Base5,0,93,3.067785
Base5,0,94,3.067785
Base5,0,95,3.067785
Base5,0,96,3.067785
Base5,0,97,3.067785
Base5,0,98,3.067785
Base5,0,99,3.067785
Base5,0,100,3.067785
Base5,0,101,3.067785
Base5,0,102,3.067785
Base5,0,103,3.067785
Base5,0,104,3.067785
Base5,0,105,3.067785
Base5,0,106,3.067785
Base5,0,107,3.067785
Base5,0,108,3.067785
Base5,0,109,3.067785
Base5,0,110,3.067785
Base5,0,111,3.067785
Base5,0,112,3.067785
Base5,0,113,3.067785
Base5,0,114,3.067785
Base5,0,115,3.067785
Base5,0,116,3.067785
Base5,0,117,3.067785
Base5,0,118,3.067785
Base5,0,119,3.067785
Base5,0,120,3.067785
Base5,0,121,3.067785
Base5,0,122,3.067785
Base5,0,123,3.067785
Base5,0,124,3.067785
Base5,0,125,3.067785
Base5,0,126,3.067785
Base5,0,127,3.067785
Base5,0,128,3.067785
Base5,0,129,3.067785
Base5,0,130,2.824490
Base5,0,131,2.824490
Base5,0,132,2.824490
Base5,0,133,2.824490
Base5,0,134,2.824490
Base5,0,135,2.824490
Base5,0,136,2.824490
Base5,0,137,2.824490
Base5,0,138,2.824490
Base5,0,139,2.824490
Base5,0,140,2.824490
Base5,0,141,2.824490
Base5,0,142,2.824490
Base5,0,143,2.824490
Base5,0,144,2.824490
Base5,0,145,2.824490
Base5,0,146,2.824490
Base5,0,0,1.000000
Base5,0,1,1.000000
Base5,0,2,1.000000
Base5,0,3,1.000000
Base5,0,4,1.000000
Base5,0,5,1.000000
Base5,0,6,1.000000
Base5,0,7,1.000000
Base5,0,8,1.000000
Base5,0,9,1.000000
Base5,0,10,1.000000
Base5,0,11,1.000000
Base5,0,12,1.000000
Base5,0,13,1.000000
Base5,0,14,1.000000
Base5,0,15,1.000000
Base5,0,16,1.000000
Base5,0,17,1.000000
Base5,0,18,1.000000
Base5,0,19,1.000000
Base5,0,20,1.000000
Base5,0,21,1.000000
Base5,0,22,1.000000
Base5,0,23,1.000000
Base5,0,24,1.000000
Base5,0,25,1.000000
Base5,0,26,1.000000
Base5,0,27,1.000000
Base5,0,28,1.000000
Base5,0,29,1.000000
Base5,0,30,1.000000
Base5,0,31,1.000000
Base5,0,32,1.000000
Base5,0,33,1.000000
Base5,0,34,1.000000
Base5,0,35,1.000000
Base5,0,36,1.000000
Base5,0,37,1.000000
Base5,0,38,1.000000
Base5,0,39,1.000000
Base5,0,40,1.000000
Base5,0,41,1.000000
Base5,0,42,1.000000
Base5,0,43,1.000000
Base5,0,44,1.000000
Base5,0,45,1.000000
Base5,0,46,1.000000
Base5,0,47,1.000000
Base5,0,48,1.000000
Base5,0,49,1.000000
Base5,0,50,1.000000
Base5,0,51,1.000000
Base5,0,52,1.000000
Base5,0,53,1.000000
Base5,0,54,1.000000
Base5,0,55,1.000000
Base5,0,56,1.000000
Base5,0,57,1.000000
Base5,0,58,1.000000
Base5,0,59,1.000000
Base5,0,60,1.000000
Base5,0,61,1.000000
Base5,0,62,1.000000
Base5,0,63,1.000000
Base5,0,64,1.000000
Base5,0,65,1.000000
Base5,0,66,1.000000
Base5,0,67,1.000000
Base5,0,68,1.000000
Base5,0,69,1.000000
Base5,0,70,1.000000
Base5,0,71,1.000000
Base5,0,72,1.000000
Base5,0,73,1.000000
Base5,0,74,1.000000
Base5,0,75,1.000000
Base5,0,76,1.000000
Base5,0,77,1.000000
Base5,0,78,1.000000
Base5,0,79,1.000000
Base5,0,80,1.000000
Base5,0,81,1.000000
Base5,0,82,1.000000
Base5,0,83,1.000000
Base5,0,84,1.000000
Base5,0,85,1.000000
Base5,0,86,1.032450
Base5,0,87,1.032450
Base5,0,88,1.032450
Base5,0,89,1.032450
Base5,0,90,1.032450
Base5,0,91,1.032450
Base5,0,92,1.032450
Base5,0,93,1.110877
Base5,0,94,1.110877
Base5,0,95,1.505334
Base5,0,96,1.505334
Base5,0,97,1.505334
Base5,0,98,1.505334
Base5,0,99,1.505334
Base5,0,100,1.505334
Base5,0,101,1.415234
Base5,0,102,1.415234
Base5,0,103,1.415234
Base5,0,104,1.415234
Base5,0,105,1.415234
Base5,0,106,1.415234
Base5,0,107,1.415234
Base5,0,108,1.816411
Base5,0,109,1.816411
Base5,0,110,1.816411
Base5,0,111,1.456748
Base5,0,112,1.456748
Base5,0,113,1.456748
Base5,0,114,1.456748
Base5,0,115,1.456748
Base5,0,116,1.456748
Base5,0,117,1.456748
Base5,0,118,1.456748
Base5,0,119,1.456748
Base5,0,120,1.456748
Base5,0,121,1.456748
Base5,0,122,1.456748
Base5,0,123,1.456748
Base5,0,124,1.456748
Base5,0,125,1.456748
Base5,0,126,1.456748
Base5,0,127,1.456748
Base5,0,128,1.456748
Base5,0,129,1.456748
Base5,0,130,1.456748
Base5,0,131,1.456748
Base5,0,132,1.388300
Base5,0,133,1.388300
Base5,0,134,1.388300
Base5,0,135,1.388300
Base5,0,136,1.388300
Base5,0,137,1.388300
Base5,0,138,1.388300
Base5,0,139,1.388300
Base5,0,140,1.388300
Base5,0,141,1.388300
Base5,0,142,1.388300
Base5,0,143,1.388300
Base5,0,144,1.388300
Base5,0,145,1.388300
Base5,0,146,1.388300
Base5,0,147,1.388300
Base5,0,148,1.388300
Base5,0,149,1.388300
Base5,0,150,1.388300
Base5,0,151,1.388300
Base5,0,152,1.388300
Base5,0,153,1.388300
Base5,0,154,1.388300
Base5,0,155,1.388300
Base5,0,156,1.388300
Base5,0,157,1.388300
Base5,0,158,1.388300
Base5,0,159,1.388300
